"","Stabr","area_name","Unemployed_2019","Employed_2019","Civilian_labor_force_2019","Unemployed_2018","Employed_2018","Civilian_labor_force_2018","Unemployed_2017","Employed_2017","Civilian_labor_force_2017","Unemployed_2016","Employed_2016","Civilian_labor_force_2016"
"1","AL","Autauga County, AL",714,25458,26172,935,25261,26196,1013,25062,26075,1322,"24,709","26,031"
"2","AL","Baldwin County, AL",2653,94675,97328,3424,91809,95233,3745,88711,92456,4835,"86,060","90,895"
"3","AL","Barbour County, AL",324,8213,8537,427,7987,8414,486,7863,8349,700,"7,736","8,436"
"4","AL","Bibb County, AL",266,8419,8685,337,8268,8605,375,8208,8583,556,"8,088","8,644"
"5","AL","Blount County, AL",676,24655,25331,868,24201,25069,998,23824,24822,1326,"23,358","24,684"
"6","AL","Bullock County, AL",175,4643,4818,220,4571,4791,238,4614,4852,330,"4,514","4,844"
"7","AL","Butler County, AL",338,8925,9263,420,8553,8973,494,8481,8975,636,"8,593","9,229"
"8","AL","Calhoun County, AL",1635,44574,46209,2116,44191,46307,2271,43679,45950,2997,"43,016","46,013"
"9","AL","Chambers County, AL",462,15286,15748,591,14775,15366,621,14639,15260,818,"14,225","15,043"
"10","AL","Cherokee County, AL",338,11266,11604,412,11276,11688,463,10922,11385,574,"10,808","11,382"
"11","AL","Chilton County, AL",538,19280,19818,700,18924,19624,786,18547,19333,1053,"18,213","19,266"
"12","AL","Choctaw County, AL",218,4452,4670,256,4493,4749,279,4145,4424,368,"3,976","4,344"
"13","AL","Clarke County, AL",436,7121,7557,563,7096,7659,658,7107,7765,864,"7,121","7,985"
"14","AL","Clay County, AL",183,5918,6101,226,5784,6010,252,5567,5819,334,"5,314","5,648"
"15","AL","Cleburne County, AL",183,5623,5806,243,5552,5795,258,5489,5747,346,"5,464","5,810"
"16","AL","Coffee County, AL",623,20779,21402,814,20193,21007,920,20049,20969,1210,"19,474","20,684"
"17","AL","Colbert County, AL",885,22761,23646,1063,22478,23541,1213,22130,23343,1630,"21,918","23,548"
"18","AL","Conecuh County, AL",180,4353,4533,231,4281,4512,275,4230,4505,383,"4,184","4,567"
"19","AL","Coosa County, AL",135,4414,4549,180,4246,4426,205,4191,4396,262,"4,137","4,399"
"20","AL","Covington County, AL",534,15119,15653,707,14945,15652,821,14958,15779,1047,"14,509","15,556"
"21","AL","Crenshaw County, AL",183,6293,6476,255,6114,6369,291,6138,6429,379,"6,101","6,480"
"22","AL","Cullman County, AL",998,37648,38646,1234,36879,38113,1420,36556,37976,1885,"36,179","38,064"
"23","AL","Dale County, AL",642,20082,20724,833,19424,20257,894,19120,20014,1155,"18,888","20,043"
"24","AL","Dallas County, AL",807,13904,14711,953,13927,14880,1128,13956,15084,1421,"14,059","15,480"
"25","AL","DeKalb County, AL",870,30182,31052,1136,29153,30289,1331,28357,29688,1773,"27,582","29,355"
"26","AL","Elmore County, AL",979,36586,37565,1277,36313,37590,1376,35990,37366,1771,"35,613","37,384"
"27","AL","Escambia County, AL",514,14248,14762,643,13780,14423,722,13779,14501,967,"13,646","14,613"
"28","AL","Etowah County, AL",1428,41295,42723,1750,41502,43252,1982,41251,43233,2559,"40,892","43,451"
"29","AL","Fayette County, AL",207,6372,6579,262,6267,6529,310,6269,6579,445,"6,178","6,623"
"30","AL","Franklin County, AL",405,14291,14696,523,13768,14291,599,13430,14029,816,"13,108","13,924"
"31","AL","Geneva County, AL",320,10725,11045,422,10450,10872,470,10356,10826,627,"10,226","10,853"
"32","AL","Greene County, AL",161,2722,2883,188,2672,2860,216,2645,2861,286,"2,598","2,884"
"33","AL","Hale County, AL",241,5878,6119,299,5680,5979,354,5614,5968,458,"5,548","6,006"
"34","AL","Henry County, AL",247,6697,6944,299,6531,6830,328,6411,6739,438,"6,311","6,749"
"35","AL","Houston County, AL",1390,44844,46234,1816,43764,45580,1959,42923,44882,2579,"42,156","44,735"
"36","AL","Jackson County, AL",772,22712,23484,944,22468,23412,1110,22088,23198,1488,"22,193","23,681"
"37","AL","Jefferson County, AL",9091,309664,318755,11545,304248,315793,13254,298227,311481,17848,"294,630","312,478"
"38","AL","Lamar County, AL",179,5670,5849,215,5528,5743,241,5523,5764,321,"5,392","5,713"
"39","AL","Lauderdale County, AL",1388,41160,42548,1746,40644,42390,1957,40261,42218,2705,"39,998","42,703"
"40","AL","Lawrence County, AL",447,13859,14306,575,13469,14044,675,13015,13690,947,"12,828","13,775"
"41","AL","Lee County, AL",2080,74500,76580,2702,72541,75243,2926,70836,73762,3786,"68,867","72,653"
"42","AL","Limestone County, AL",1154,42700,43854,1507,41472,42979,1675,40016,41691,2133,"38,720","40,853"
"43","AL","Lowndes County, AL",204,3383,3587,260,3354,3614,301,3371,3672,401,"3,414","3,815"
"44","AL","Macon County, AL",337,7513,7850,420,7442,7862,456,7460,7916,599,"7,301","7,900"
"45","AL","Madison County, AL",4714,180505,185219,6213,175352,181565,6851,169711,176562,8887,"165,388","174,275"
"46","AL","Marengo County, AL",271,7423,7694,371,7237,7608,433,7291,7724,548,"7,155","7,703"
"47","AL","Marion County, AL",446,12486,12932,507,12114,12621,603,11964,12567,827,"11,720","12,547"
"48","AL","Marshall County, AL",1086,42999,44085,1429,41496,42925,1624,40616,42240,2219,"39,535","41,754"
"49","AL","Mobile County, AL",7024,182083,189107,8711,180293,189004,9741,177819,187560,12448,"176,094","188,542"
"50","AL","Monroe County, AL",356,6973,7329,434,6753,7187,487,6756,7243,663,"6,681","7,344"
"51","AL","Montgomery County, AL",3260,102517,105777,4171,101782,105953,4600,101555,106155,5988,"100,202","106,190"
"52","AL","Morgan County, AL",1500,56771,58271,1966,55192,57158,2266,52986,55252,3036,"52,056","55,092"
"53","AL","Perry County, AL",178,3235,3413,219,3192,3411,268,3181,3449,358,"3,123","3,481"
"54","AL","Pickens County, AL",276,7647,7923,350,7395,7745,415,7333,7748,533,"7,265","7,798"
"55","AL","Pike County, AL",504,14924,15428,681,14579,15260,745,14606,15351,971,"14,038","15,009"
"56","AL","Randolph County, AL",292,9347,9639,379,9202,9581,417,9104,9521,526,"8,941","9,467"
"57","AL","Russell County, AL",698,23198,23896,952,23067,24019,1013,22468,23481,1305,"22,322","23,627"
"58","AL","St. Clair County, AL",1091,39441,40532,1378,38742,40120,1561,37780,39341,2024,"37,217","39,241"
"59","AL","Shelby County, AL",2525,113414,115939,3209,111425,114634,3598,108172,111770,4711,"105,324","110,035"
"60","AL","Sumter County, AL",219,4635,4854,277,4543,4820,327,4659,4986,393,"4,738","5,131"
"61","AL","Talladega County, AL",1213,34556,35769,1485,33847,35332,1740,33040,34780,2295,"32,660","34,955"
"62","AL","Tallapoosa County, AL",556,18096,18652,733,17226,17959,768,17505,18273,1036,"17,620","18,656"
"63","AL","Tuscaloosa County, AL",2842,102122,104964,3682,98826,102508,4168,96091,100259,5600,"94,059","99,659"
"64","AL","Walker County, AL",830,24517,25347,1050,24078,25128,1258,23738,24996,1902,"23,767","25,669"
"65","AL","Washington County, AL",313,6487,6800,384,6327,6711,454,6263,6717,581,"6,188","6,769"
"66","AL","Wilcox County, AL",195,2544,2739,258,2498,2756,321,2491,2812,406,"2,422","2,828"
"67","AL","Winston County, AL",336,9705,10041,405,9405,9810,489,9241,9730,676,"8,895","9,571"
"68","AK","Alaska",21349,326430,347779,22761,329901,352662,24850,334449,359299,24812,"336,979","361,791"
"69","AK","Aleutians East Borough, AK",68,2360,2428,70,2222,2292,63,2466,2529,69,"2,514","2,583"
"70","AK","Aleutians West Census Area, AK",129,3477,3606,125,3477,3602,137,3587,3724,132,"3,842","3,974"
"71","AK","Anchorage Borough/municipality, AK",7423,139526,146949,8068,141363,149431,8853,144255,153108,8554,"146,720","155,274"
"72","AK","Bethel Census Area, AK",905,6120,7025,902,6209,7111,983,6343,7326,1030,"6,207","7,237"
"73","AK","Bristol Bay Borough, AK",27,414,441,27,417,444,26,393,419,29,"384","413"
"74","AK","Denali Borough, AK",88,950,1038,82,975,1057,102,1042,1144,99,"994","1,093"
"75","AK","Dillingham Census Area, AK",157,1781,1938,160,1844,2004,182,1863,2045,200,"1,875","2,075"
"76","AK","Fairbanks North Star Borough, AK",2404,42248,44652,2575,42901,45476,2805,43429,46234,2727,"43,667","46,394"
"77","AK","Haines Borough, AK",99,1012,1111,105,992,1097,95,982,1077,110,"963","1,073"
"78","AK","Hoonah-Angoon Census Area, AK",132,1028,1160,142,1004,1146,138,998,1136,142,"1,060","1,202"
"79","AK","Juneau Borough/city, AK",756,16243,16999,740,16305,17045,791,16417,17208,776,"16,540","17,316"
"80","AK","Kenai Peninsula Borough, AK",1778,24383,26161,1988,24384,26372,2198,24551,26749,2309,"24,818","27,127"
"81","AK","Ketchikan Gateway Borough, AK",428,6456,6884,415,6556,6971,432,6634,7066,457,"6,558","7,015"
"82","AK","Kodiak Island Borough, AK",330,5582,5912,355,5744,6099,315,5977,6292,330,"6,079","6,409"
"83","AK","Kusilvak Census Area, AK",518,2164,2682,525,2160,2685,537,2209,2746,588,"2,133","2,721"
"84","AK","Lake and Peninsula Borough, AK",70,638,708,81,660,741,84,632,716,82,"573","655"
"85","AK","Matanuska-Susitna Borough, AK",3240,43661,46901,3544,44184,47728,3952,44174,48126,3896,"43,455","47,351"
"86","AK","Nome Census Area, AK",440,3596,4036,460,3622,4082,492,3597,4089,518,"3,561","4,079"
"87","AK","North Slope Borough, AK",224,3261,3485,230,3157,3387,264,3321,3585,267,"3,681","3,948"
"88","AK","Northwest Arctic Borough, AK",411,2523,2934,398,2518,2916,475,2476,2951,473,"2,487","2,960"
"89","AK","Petersburg Borough, AK",121,1267,1388,118,1261,1379,128,1283,1411,131,"1,318","1,449"
"90","AK","Prince of Wales-Hyder Census Area, AK",289,2562,2851,305,2567,2872,313,2527,2840,337,"2,428","2,765"
"91","AK","Prince of Wales-Outer Ketchikan Census Area, AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"92","AK","Sitka Borough/city, AK",181,4155,4336,179,4152,4331,199,4227,4426,202,"4,164","4,366"
"93","AK","Skagway Municipality, AK",76,746,822,78,752,830,84,742,826,90,"715","805"
"94","AK","Skagway-Hoonah-Angoon Census Area, AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"95","AK","Southeast Fairbanks Census Area, AK",252,2558,2810,278,2647,2925,298,2629,2927,322,"2,671","2,993"
"96","AK","Valdez-Cordova Census Area, AK",363,4452,4815,350,4478,4828,372,4484,4856,413,"4,391","4,804"
"97","AK","Wrangell Borough/city, AK",77,925,1002,71,962,1033,79,966,1045,79,"974","1,053"
"98","AK","Wrangell-Petersburg Census Area, AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"99","AK","Yakutat Borough/city, AK",19,227,246,20,226,246,21,211,232,20,"223","243"
"100","AK","Yukon-Koyukuk Census Area, AK",345,2113,2458,371,2165,2536,432,2034,2466,432,"1,987","2,419"
"101","AZ","Arizona",166756,3384504,3551260,162065,3260518,3422583,161316,3160248,3321564,173277,"3,063,017","3,236,294"
"102","AZ","Apache County, AZ",2019,18468,20487,2006,18485,20491,2087,18274,20361,2318,"17,966","20,284"
"103","AZ","Cochise County, AZ",2899,47695,50594,2731,46751,49482,2735,46592,49327,3076,"46,452","49,528"
"104","AZ","Coconino County, AZ",4301,73206,77507,4132,72001,76133,4150,71251,75401,4442,"69,639","74,081"
"105","AZ","Gila County, AZ",1192,20485,21677,1224,20133,21357,1281,20025,21306,1510,"19,455","20,965"
"106","AZ","Graham County, AZ",743,14608,15351,742,14071,14813,777,13581,14358,963,"13,389","14,352"
"107","AZ","Greenlee County, AZ",178,4342,4520,174,4089,4263,199,3784,3983,294,"3,600","3,894"
"108","AZ","La Paz County, AZ",545,8789,9334,545,8351,8896,465,8216,8681,510,"7,949","8,459"
"109","AZ","Maricopa County, AZ",92847,2217656,2310503,90142,2127021,2217163,89274,2052091,2141365,94806,"1,983,062","2,077,868"
"110","AZ","Mohave County, AZ",4977,82815,87792,4765,80173,84938,4808,77541,82349,5301,"75,095","80,396"
"111","AZ","Navajo County, AZ",3006,37973,40979,3051,37173,40224,3093,37591,40684,3396,"37,871","41,267"
"112","AZ","Pima County, AZ",22075,476620,498695,21152,463057,484209,21305,454630,475935,23177,"445,827","469,004"
"113","AZ","Pinal County, AZ",9171,178309,187480,8850,170951,179801,8591,162883,171474,9045,"154,681","163,726"
"114","AZ","Santa Cruz County, AZ",1673,17963,19636,1747,17505,19252,1796,17255,19051,1917,"17,244","19,161"
"115","AZ","Yavapai County, AZ",4742,102138,106880,4575,100023,104598,4582,97269,101851,4881,"94,517","99,398"
"116","AZ","Yuma County, AZ",16387,83437,99824,16225,80735,96960,16171,79266,95437,17641,"76,271","93,912"
"117","AR","Arkansas",48352,1314290,1362642,49310,1303995,1353305,49800,1297215,1347015,53106,"1,286,419","1,339,525"
"118","AR","Arkansas County, AR",286,9141,9427,300,8779,9079,291,8669,8960,315,"8,940","9,255"
"119","AR","Ashley County, AR",418,7333,7751,411,7425,7836,437,7420,7857,486,"7,454","7,940"
"120","AR","Baxter County, AR",650,15646,16296,669,15729,16398,695,15655,16350,690,"15,387","16,077"
"121","AR","Benton County, AR",3601,133610,137211,3872,130888,134760,3908,128439,132347,3713,"124,007","127,720"
"122","AR","Boone County, AR",511,15525,16036,551,15361,15912,540,15242,15782,583,"15,321","15,904"
"123","AR","Bradley County, AR",185,4298,4483,193,4293,4486,204,4250,4454,225,"4,252","4,477"
"124","AR","Calhoun County, AR",108,2345,2453,93,2352,2445,93,2315,2408,110,"2,279","2,389"
"125","AR","Carroll County, AR",400,12383,12783,402,12217,12619,431,12548,12979,457,"12,393","12,850"
"126","AR","Chicot County, AR",228,3057,3285,225,3134,3359,225,3237,3462,235,"3,342","3,577"
"127","AR","Clark County, AR",368,9323,9691,354,9346,9700,372,9194,9566,413,"9,144","9,557"
"128","AR","Clay County, AR",278,5413,5691,250,5556,5806,265,5611,5876,340,"5,688","6,028"
"129","AR","Cleburne County, AR",418,8808,9226,408,8721,9129,455,8821,9276,562,"8,907","9,469"
"130","AR","Cleveland County, AR",127,3092,3219,124,3144,3268,144,3180,3324,150,"3,188","3,338"
"131","AR","Columbia County, AR",410,8730,9140,422,8603,9025,457,8612,9069,528,"8,753","9,281"
"132","AR","Conway County, AR",359,7926,8285,353,7821,8174,392,7830,8222,481,"7,958","8,439"
"133","AR","Craighead County, AR",1555,54097,55652,1643,52919,54562,1605,51936,53541,1691,"50,456","52,147"
"134","AR","Crawford County, AR",894,26028,26922,950,26054,27004,946,25958,26904,1047,"25,860","26,907"
"135","AR","Crittenden County, AR",910,20512,21422,910,20294,21204,930,20427,21357,973,"20,600","21,573"
"136","AR","Cross County, AR",314,7097,7411,303,7150,7453,306,7342,7648,348,"7,523","7,871"
"137","AR","Dallas County, AR",134,2706,2840,120,2730,2850,128,2788,2916,144,"2,833","2,977"
"138","AR","Desha County, AR",241,5161,5402,241,5186,5427,261,5181,5442,296,"5,141","5,437"
"139","AR","Drew County, AR",408,7456,7864,379,7468,7847,403,7550,7953,452,"7,525","7,977"
"140","AR","Faulkner County, AR",1875,60556,62431,1992,60058,62050,2039,59256,61295,2292,"58,164","60,456"
"141","AR","Franklin County, AR",252,7242,7494,260,7125,7385,260,7135,7395,296,"7,057","7,353"
"142","AR","Fulton County, AR",199,4763,4962,191,4632,4823,198,4515,4713,202,"4,458","4,660"
"143","AR","Garland County, AR",1537,39809,41346,1627,39199,40826,1625,38671,40296,1720,"38,301","40,021"
"144","AR","Grant County, AR",267,8136,8403,256,8079,8335,268,8049,8317,297,"7,964","8,261"
"145","AR","Greene County, AR",699,19366,20065,684,19165,19849,724,18977,19701,847,"18,927","19,774"
"146","AR","Hempstead County, AR",380,9571,9951,344,9607,9951,340,9546,9886,375,"9,613","9,988"
"147","AR","Hot Spring County, AR",510,13509,14019,520,13447,13967,521,13585,14106,553,"13,539","14,092"
"148","AR","Howard County, AR",186,5525,5711,201,5706,5907,180,5802,5982,195,"5,775","5,970"
"149","AR","Independence County, AR",659,15868,16527,653,15648,16301,683,15443,16126,791,"15,195","15,986"
"150","AR","Izard County, AR",269,4643,4912,264,4610,4874,269,4606,4875,278,"4,681","4,959"
"151","AR","Jackson County, AR",380,5460,5840,347,5437,5784,344,5530,5874,377,"5,671","6,048"
"152","AR","Jefferson County, AR",1520,26220,27740,1450,26595,28045,1448,26522,27970,1583,"26,695","28,278"
"153","AR","Johnson County, AR",469,9809,10278,469,9932,10401,451,10115,10566,498,"10,018","10,516"
"154","AR","Lafayette County, AR",115,2351,2466,127,2365,2492,128,2409,2537,150,"2,428","2,578"
"155","AR","Lawrence County, AR",284,6533,6817,264,6562,6826,257,6593,6850,299,"6,607","6,906"
"156","AR","Lee County, AR",127,2706,2833,138,2765,2903,142,2823,2965,145,"2,942","3,087"
"157","AR","Lincoln County, AR",173,3777,3950,170,3843,4013,168,3880,4048,197,"3,891","4,088"
"158","AR","Little River County, AR",238,5280,5518,283,5182,5465,265,5228,5493,261,"5,323","5,584"
"159","AR","Logan County, AR",373,8210,8583,347,8397,8744,340,8548,8888,418,"8,696","9,114"
"160","AR","Lonoke County, AR",1109,33359,34468,1075,33131,34206,1104,32711,33815,1109,"32,226","33,335"
"161","AR","Madison County, AR",189,7238,7427,211,7140,7351,210,7153,7363,233,"7,041","7,274"
"162","AR","Marion County, AR",267,6406,6673,266,6231,6497,255,6218,6473,260,"6,251","6,511"
"163","AR","Miller County, AR",809,18941,19750,933,18602,19535,856,18884,19740,830,"19,007","19,837"
"164","AR","Mississippi County, AR",891,16467,17358,972,16386,17358,1054,16710,17764,1222,"16,817","18,039"
"165","AR","Monroe County, AR",119,2642,2761,114,2629,2743,119,2677,2796,138,"2,738","2,876"
"166","AR","Montgomery County, AR",138,2832,2970,143,2912,3055,147,2941,3088,160,"2,963","3,123"
"167","AR","Nevada County, AR",145,3517,3662,125,3524,3649,127,3473,3600,134,"3,504","3,638"
"168","AR","Newton County, AR",117,3218,3335,110,3195,3305,120,3199,3319,133,"3,274","3,407"
"169","AR","Ouachita County, AR",508,9330,9838,444,9323,9767,444,9270,9714,495,"9,369","9,864"
"170","AR","Perry County, AR",175,4100,4275,173,4075,4248,175,4066,4241,199,"3,962","4,161"
"171","AR","Phillips County, AR",383,5996,6379,395,6185,6580,377,6148,6525,391,"6,254","6,645"
"172","AR","Pike County, AR",164,4086,4250,173,4129,4302,172,4118,4290,179,"4,035","4,214"
"173","AR","Poinsett County, AR",350,9929,10279,385,9756,10141,425,9822,10247,430,"9,645","10,075"
"174","AR","Polk County, AR",339,7782,8121,329,7745,8074,359,7661,8020,398,"7,770","8,168"
"175","AR","Pope County, AR",1251,27618,28869,1275,27739,29014,1290,27775,29065,1341,"27,893","29,234"
"176","AR","Prairie County, AR",156,3430,3586,136,3424,3560,151,3542,3693,139,"3,505","3,644"
"177","AR","Pulaski County, AR",6472,183776,190248,6477,182165,188642,6409,181884,188293,6619,"180,191","186,810"
"178","AR","Randolph County, AR",284,7017,7301,283,6886,7169,287,6629,6916,300,"6,213","6,513"
"179","AR","St. Francis County, AR",425,7772,8197,418,7876,8294,420,7933,8353,458,"8,368","8,826"
"180","AR","Saline County, AR",1664,57450,59114,1784,56950,58734,1731,55701,57432,1770,"54,998","56,768"
"181","AR","Scott County, AR",147,4167,4314,158,4235,4393,153,4277,4430,164,"4,292","4,456"
"182","AR","Searcy County, AR",133,2781,2914,126,2802,2928,136,2797,2933,136,"2,848","2,984"
"183","AR","Sebastian County, AR",1864,54834,56698,2006,54852,56858,2060,55104,57164,2139,"55,370","57,509"
"184","AR","Sevier County, AR",265,5248,5513,254,5347,5601,255,5404,5659,275,"5,410","5,685"
"185","AR","Sharp County, AR",285,5457,5742,274,5514,5788,298,5656,5954,328,"5,713","6,041"
"186","AR","Stone County, AR",223,4503,4726,214,4579,4793,228,4560,4788,243,"4,490","4,733"
"187","AR","Union County, AR",829,15018,15847,870,15113,15983,847,15232,16079,891,"15,455","16,346"
"188","AR","Van Buren County, AR",286,5455,5741,308,5583,5891,329,5705,6034,418,"5,674","6,092"
"189","AR","Washington County, AR",3053,121914,124967,3186,119442,122628,3119,117465,120584,3251,"114,945","118,196"
"190","AR","White County, AR",1519,32281,33800,1454,32189,33643,1525,32074,33599,1767,"32,217","33,984"
"191","AR","Woodruff County, AR",146,2627,2773,131,2673,2804,141,2781,2922,162,"2,802","2,964"
"192","AR","Yell County, AR",336,8081,8417,352,8142,8494,344,8207,8551,387,"8,285","8,672"
"193","CA","California",784194,18627378,19411572,820096,18460725,19280821,919268,18257103,19176371,1041096,"17,980,080","19,021,176"
"194","CA","Alameda County, CA",24671,819675,844346,25816,816611,842427,30833,808382,839215,35681,"796,037","831,718"
"195","CA","Alpine County, CA",28,523,551,25,522,547,33,515,548,35,"518","553"
"196","CA","Amador County, CA",572,14328,14900,602,14084,14686,730,13980,14710,864,"13,658","14,522"
"197","CA","Butte County, CA",5080,94162,99242,5183,96749,101932,5905,96209,102114,6718,"94,909","101,627"
"198","CA","Calaveras County, CA",812,20616,21428,859,20329,21188,994,20046,21040,1179,"19,615","20,794"
"199","CA","Colusa County, CA",1407,9586,10993,1440,9421,10861,1538,9282,10820,1696,"9,205","10,901"
"200","CA","Contra Costa County, CA",17261,544496,561757,18101,542812,560913,21435,537156,558591,24745,"528,400","553,145"
"201","CA","Del Norte County, CA",555,9119,9674,559,9163,9722,624,9083,9707,734,"9,019","9,753"
"202","CA","El Dorado County, CA",3237,88785,92022,3327,87804,91131,3922,85902,89824,4562,"84,248","88,810"
"203","CA","Fresno County, CA",32668,418092,450760,33949,412795,446744,37950,406912,444862,42234,"402,365","444,599"
"204","CA","Glenn County, CA",796,12201,12997,844,11938,12782,957,11859,12816,1078,"11,867","12,945"
"205","CA","Humboldt County, CA",2253,60254,62507,2276,60329,62605,2622,59937,62559,3076,"59,337","62,413"
"206","CA","Imperial County, CA",13080,58331,71411,13432,57811,71243,14083,57977,72060,18144,"56,997","75,141"
"207","CA","Inyo County, CA",310,8450,8760,341,8371,8712,376,8239,8615,468,"8,389","8,857"
"208","CA","Kern County, CA",30216,360783,390999,31344,354890,386234,35352,349050,384402,40284,"347,694","387,978"
"209","CA","Kings County, CA",4566,53222,57788,4550,53018,57568,5099,52216,57315,5695,"51,446","57,141"
"210","CA","Lake County, CA",1471,27687,29158,1547,27558,29105,1694,27642,29336,1953,"27,108","29,061"
"211","CA","Lassen County, CA",453,9416,9869,478,9388,9866,553,9484,10037,718,"9,642","10,360"
"212","CA","Los Angeles County, CA",227288,4894296,5121584,235195,4860309,5095504,242150,4841864,5084014,264609,"4,765,899","5,030,508"
"213","CA","Madera County, CA",4294,57651,61945,4376,56955,61331,4945,56021,60966,5639,"55,393","61,032"
"214","CA","Marin County, CA",3193,136786,139979,3425,136433,139858,4023,135799,139822,4579,"135,040","139,619"
"215","CA","Mariposa County, CA",350,7262,7612,411,7248,7659,447,7215,7662,519,"7,048","7,567"
"216","CA","Mendocino County, CA",1546,37388,38934,1587,37913,39500,1788,37796,39584,2088,"37,521","39,609"
"217","CA","Merced County, CA",9360,106866,116226,9742,105638,115380,10809,104497,115306,12084,"102,212","114,296"
"218","CA","Modoc County, CA",224,2947,3171,240,2919,3159,259,2937,3196,257,"3,034","3,291"
"219","CA","Mono County, CA",313,8195,8508,343,8092,8435,377,8119,8496,448,"7,915","8,363"
"220","CA","Monterey County, CA",13799,208717,222516,14239,207917,222156,15748,203958,219706,16755,"201,975","218,730"
"221","CA","Napa County, CA",2104,71900,74004,2197,71664,73861,2671,70661,73332,3130,"69,799","72,929"
"222","CA","Nevada County, CA",1617,47022,48639,1714,46904,48618,1987,46362,48349,2302,"45,838","48,140"
"223","CA","Orange County, CA",45087,1578334,1623421,48126,1569753,1617879,56330,1551463,1607793,64538,"1,532,720","1,597,258"
"224","CA","Placer County, CA",5839,182093,187932,5972,179858,185830,7006,174454,181460,8055,"171,549","179,604"
"225","CA","Plumas County, CA",607,7296,7903,595,7228,7823,689,7081,7770,763,"7,085","7,848"
"226","CA","Riverside County, CA",46151,1057884,1104035,48702,1042673,1091375,56311,1015843,1072154,64247,"987,183","1,051,430"
"227","CA","Sacramento County, CA",26096,686298,712394,27423,677544,704967,32541,664782,697323,37510,"656,358","693,868"
"228","CA","San Benito County, CA",1587,29845,31432,1592,29644,31236,1765,28857,30622,2029,"28,397","30,426"
"229","CA","San Bernardino County, CA",37010,930709,967719,39378,916705,956083,46457,896687,943144,53704,"876,384","930,088"
"230","CA","San Diego County, CA",50643,1539948,1590591,53461,1528064,1581525,63227,1509574,1572801,73857,"1,489,140","1,562,997"
