"","Stabr","area_name","Unemployed_2019","Employed_2019","Civilian_labor_force_2019","Unemployed_2018","Employed_2018","Civilian_labor_force_2018","Unemployed_2017","Employed_2017","Civilian_labor_force_2017","Unemployed_2016","Employed_2016","Civilian_labor_force_2016"
"697","IL","Shelby County, IL",417,10278,10695,452,10292,10744,463,9953,10416,596,"9,800","10,396"
"698","IL","Stark County, IL",146,2409,2555,159,2432,2591,163,2405,2568,203,"2,556","2,759"
"699","IL","Stephenson County, IL",955,20868,21823,1019,21173,22192,1018,20642,21660,1256,"20,151","21,407"
"700","IL","Tazewell County, IL",2835,61347,64182,3117,61874,64991,3473,61182,64655,4231,"61,543","65,774"
"701","IL","Union County, IL",424,7070,7494,471,6985,7456,475,6886,7361,558,"6,966","7,524"
"702","IL","Vermilion County, IL",1711,31540,33251,2018,31551,33569,2208,31766,33974,2531,"32,361","34,892"
"703","IL","Wabash County, IL",226,5648,5874,263,5533,5796,283,5350,5633,361,"5,392","5,753"
"704","IL","Warren County, IL",349,8207,8556,358,8360,8718,364,8297,8661,459,"8,238","8,697"
"705","IL","Washington County, IL",259,9995,10254,286,9593,9879,286,9354,9640,363,"9,282","9,645"
"706","IL","Wayne County, IL",335,6696,7031,377,6538,6915,431,6523,6954,623,"6,679","7,302"
"707","IL","White County, IL",254,6409,6663,279,6445,6724,325,6354,6679,452,"6,437","6,889"
"708","IL","Whiteside County, IL",1230,27619,28849,1271,27349,28620,1365,26834,28199,1667,"27,061","28,728"
"709","IL","Will County, IL",13634,343602,357236,14847,343007,357854,18108,341728,359836,21585,"340,776","362,361"
"710","IL","Williamson County, IL",1381,30765,32146,1603,30551,32154,1648,30172,31820,1989,"30,336","32,325"
"711","IL","Winnebago County, IL",7948,132290,140238,7905,133567,141472,8995,130081,139076,9426,"131,886","141,312"
"712","IL","Woodford County, IL",705,18165,18870,767,18326,19093,834,18101,18935,1062,"18,289","19,351"
"713","IN","Indiana",112310,3275056,3387366,117858,3263751,3381609,119006,3215427,3334433,147288,"3,181,085","3,328,373"
"714","IN","Adams County, IN",470,16785,17255,463,17026,17489,456,16803,17259,610,"16,427","17,037"
"715","IN","Allen County, IN",5876,180923,186799,5940,178696,184636,6100,175114,181214,7721,"173,132","180,853"
"716","IN","Bartholomew County, IN",1125,43902,45027,1208,43908,45116,1230,43280,44510,1506,"42,938","44,444"
"717","IN","Benton County, IN",146,4436,4582,150,4411,4561,155,4342,4497,193,"4,372","4,565"
"718","IN","Blackford County, IN",198,4808,5006,208,5114,5322,217,5124,5341,286,"5,050","5,336"
"719","IN","Boone County, IN",897,35553,36450,994,35194,36188,1016,34381,35397,1176,"33,677","34,853"
"720","IN","Brown County, IN",232,7518,7750,248,7444,7692,260,7297,7557,302,"7,219","7,521"
"721","IN","Carroll County, IN",309,9967,10276,340,9885,10225,349,9725,10074,429,"9,679","10,108"
"722","IN","Cass County, IN",629,17366,17995,681,17573,18254,690,17204,17894,838,"17,209","18,047"
"723","IN","Clark County, IN",2058,59835,61893,2150,59724,61874,2149,58750,60899,2521,"58,008","60,529"
"724","IN","Clay County, IN",430,11694,12124,488,11837,12325,462,11825,12287,578,"11,806","12,384"
"725","IN","Clinton County, IN",462,16769,17231,493,16687,17180,527,16452,16979,666,"16,484","17,150"
"726","IN","Crawford County, IN",202,4672,4874,225,4725,4950,222,4726,4948,282,"4,717","4,999"
"727","IN","Daviess County, IN",435,16337,16772,454,16054,16508,451,15493,15944,565,"15,407","15,972"
"728","IN","Dearborn County, IN",921,25010,25931,959,24913,25872,1005,24757,25762,1206,"24,390","25,596"
"729","IN","Decatur County, IN",434,14618,15052,452,14491,14943,434,14266,14700,518,"14,035","14,553"
"730","IN","DeKalb County, IN",642,22116,22758,647,21850,22497,658,21610,22268,871,"21,361","22,232"
"731","IN","Delaware County, IN",2092,51853,53945,2206,51938,54144,2343,52034,54377,2825,"52,254","55,079"
"732","IN","Dubois County, IN",555,22590,23145,586,22742,23328,606,22596,23202,728,"22,664","23,392"
"733","IN","Elkhart County, IN",3473,109468,112941,3055,112944,115999,2879,109475,112354,3779,"104,678","108,457"
"734","IN","Fayette County, IN",416,8375,8791,430,8726,9156,461,8620,9081,538,"8,812","9,350"
"735","IN","Floyd County, IN",1321,40476,41797,1398,40407,41805,1378,39517,40895,1678,"39,303","40,981"
"736","IN","Fountain County, IN",283,7777,8060,297,7798,8095,319,7594,7913,463,"7,507","7,970"
"737","IN","Franklin County, IN",394,11052,11446,429,10972,11401,409,10811,11220,498,"10,979","11,477"
"738","IN","Fulton County, IN",315,9601,9916,341,9658,9999,344,9424,9768,464,"9,423","9,887"
"739","IN","Gibson County, IN",491,19043,19534,525,18902,19427,568,18543,19111,696,"18,501","19,197"
"740","IN","Grant County, IN",1185,30648,31833,1253,30916,32169,1251,30608,31859,1585,"30,556","32,141"
"741","IN","Greene County, IN",564,13164,13728,615,13124,13739,651,12960,13611,898,"12,843","13,741"
"742","IN","Hamilton County, IN",4657,180004,184661,5023,177963,182986,4954,173395,178349,5590,"168,883","174,473"
"743","IN","Hancock County, IN",1153,39317,40470,1233,38898,40131,1194,37953,39147,1464,"37,218","38,682"
"744","IN","Harrison County, IN",659,19727,20386,714,19699,20413,700,19227,19927,839,"19,116","19,955"
"745","IN","Hendricks County, IN",2446,87966,90412,2626,86951,89577,2553,84659,87212,2996,"82,780","85,776"
"746","IN","Henry County, IN",730,21435,22165,797,21621,22418,820,21363,22183,1021,"21,093","22,114"
"747","IN","Howard County, IN",1483,35432,36915,1552,35875,37427,1464,36519,37983,1774,"36,304","38,078"
"748","IN","Huntington County, IN",599,17745,18344,659,17719,18378,664,17743,18407,759,"17,928","18,687"
"749","IN","Jackson County, IN",606,22356,22962,660,22158,22818,677,21776,22453,817,"21,527","22,344"
"750","IN","Jasper County, IN",604,15831,16435,654,15815,16469,715,15687,16402,882,"15,688","16,570"
"751","IN","Jay County, IN",287,9216,9503,328,9449,9777,349,9440,9789,451,"9,494","9,945"
"752","IN","Jefferson County, IN",511,14567,15078,522,14585,15107,565,14513,15078,712,"14,573","15,285"
"753","IN","Jennings County, IN",448,13151,13599,500,13099,13599,509,12738,13247,630,"12,635","13,265"
"754","IN","Johnson County, IN",2241,81134,83375,2416,80240,82656,2419,78529,80948,2916,"77,330","80,246"
"755","IN","Knox County, IN",573,18011,18584,605,18246,18851,644,17987,18631,833,"18,230","19,063"
"756","IN","Kosciusko County, IN",1190,41248,42438,1139,41592,42731,1146,40430,41576,1554,"39,941","41,495"
"757","IN","LaGrange County, IN",559,19514,20073,523,20118,20641,515,19473,19988,670,"18,752","19,422"
"758","IN","Lake County, IN",11355,221096,232451,11620,220240,231860,11868,218323,230191,14694,"217,542","232,236"
"759","IN","LaPorte County, IN",2050,46012,48062,2124,45961,48085,2155,45672,47827,2861,"45,786","48,647"
"760","IN","Lawrence County, IN",766,20481,21247,822,20307,21129,924,19901,20825,1170,"19,423","20,593"
"761","IN","Madison County, IN",2190,57262,59452,2338,56649,58987,2355,56219,58574,2973,"55,991","58,964"
"762","IN","Marion County, IN",16116,476851,492967,17382,471316,488698,17675,465932,483607,21547,"459,887","481,434"
"763","IN","Marshall County, IN",726,22513,23239,750,22613,23363,733,22948,23681,912,"23,412","24,324"
"764","IN","Martin County, IN",141,5239,5380,146,5071,5217,155,4982,5137,211,"4,939","5,150"
"765","IN","Miami County, IN",606,14911,15517,642,15188,15830,628,15239,15867,759,"15,326","16,085"
"766","IN","Monroe County, IN",2338,68000,70338,2540,67018,69558,2514,65998,68512,3162,"64,824","67,986"
"767","IN","Montgomery County, IN",577,18275,18852,587,18517,19104,586,18407,18993,737,"18,419","19,156"
"768","IN","Morgan County, IN",1128,35404,36532,1250,35030,36280,1275,34600,35875,1534,"34,503","36,037"
"769","IN","Newton County, IN",289,6746,7035,311,6745,7056,342,6733,7075,393,"6,644","7,037"
"770","IN","Noble County, IN",737,23023,23760,702,22947,23649,720,22414,23134,947,"22,382","23,329"
"771","IN","Ohio County, IN",112,3089,3201,114,3075,3189,116,3037,3153,159,"3,067","3,226"
"772","IN","Orange County, IN",300,8353,8653,339,8231,8570,349,8369,8718,451,"8,429","8,880"
"773","IN","Owen County, IN",375,9038,9413,412,8926,9338,404,8790,9194,515,"8,744","9,259"
"774","IN","Parke County, IN",269,6847,7116,291,6861,7152,291,6901,7192,379,"6,888","7,267"
"775","IN","Perry County, IN",308,8998,9306,349,8981,9330,358,8909,9267,431,"9,029","9,460"
"776","IN","Pike County, IN",203,5948,6151,217,5919,6136,217,6233,6450,275,"6,055","6,330"
"777","IN","Porter County, IN",3263,84303,87566,3390,83988,87378,3525,82467,85992,4421,"81,852","86,273"
"778","IN","Posey County, IN",374,13306,13680,392,13323,13715,410,13127,13537,531,"12,919","13,450"
"779","IN","Pulaski County, IN",202,6367,6569,204,6303,6507,224,6158,6382,285,"6,094","6,379"
"780","IN","Putnam County, IN",582,16286,16868,644,16126,16770,609,15990,16599,750,"15,854","16,604"
"781","IN","Randolph County, IN",425,10922,11347,459,11156,11615,493,11245,11738,570,"12,098","12,668"
"782","IN","Ripley County, IN",466,13860,14326,514,13592,14106,503,13567,14070,646,"13,420","14,066"
"783","IN","Rush County, IN",241,8763,9004,262,8775,9037,275,8658,8933,339,"8,639","8,978"
"784","IN","St. Joseph County, IN",4933,131498,136431,4925,131569,136494,4865,129779,134644,6080,"128,039","134,119"
"785","IN","Scott County, IN",379,10221,10600,419,10204,10623,401,10068,10469,508,"9,967","10,475"
"786","IN","Shelby County, IN",675,22600,23275,729,22365,23094,770,22120,22890,917,"22,037","22,954"
"787","IN","Spencer County, IN",340,10501,10841,365,10614,10979,369,10552,10921,450,"10,525","10,975"
"788","IN","Starke County, IN",432,9531,9963,460,9949,10409,465,9993,10458,587,"10,271","10,858"
"789","IN","Steuben County, IN",553,20232,20785,549,19766,20315,587,19376,19963,735,"19,346","20,081"
"790","IN","Sullivan County, IN",359,8085,8444,406,8191,8597,384,8198,8582,511,"8,188","8,699"
"791","IN","Switzerland County, IN",167,4857,5024,200,4872,5072,202,4797,4999,244,"4,752","4,996"
"792","IN","Tippecanoe County, IN",2903,96245,99148,3170,94963,98133,3107,92504,95611,3835,"90,548","94,383"
"793","IN","Tipton County, IN",253,9084,9337,261,8973,9234,263,8283,8546,328,"8,199","8,527"
"794","IN","Union County, IN",117,3457,3574,114,3450,3564,113,3498,3611,147,"3,490","3,637"
"795","IN","Vanderburgh County, IN",2906,92022,94928,3061,91968,95029,3070,90656,93726,3833,"89,389","93,222"
"796","IN","Vermillion County, IN",366,6675,7041,399,6762,7161,389,6759,7148,479,"6,792","7,271"
"797","IN","Vigo County, IN",2083,46409,48492,2184,46941,49125,2083,46891,48974,2661,"46,714","49,375"
"798","IN","Wabash County, IN",471,14630,15101,524,14467,14991,533,14601,15134,659,"14,818","15,477"
"799","IN","Warren County, IN",127,4098,4225,137,4070,4207,139,3953,4092,199,"3,912","4,111"
"800","IN","Warrick County, IN",962,32233,33195,988,32221,33209,1036,31634,32670,1312,"31,169","32,481"
"801","IN","Washington County, IN",456,13315,13771,493,13335,13828,511,13122,13633,626,"13,056","13,682"
"802","IN","Wayne County, IN",1105,29776,30881,1137,30124,31261,1168,29686,30854,1485,"29,465","30,950"
"803","IN","Wells County, IN",391,14123,14514,411,13985,14396,422,13698,14120,505,"13,662","14,167"
"804","IN","White County, IN",367,13210,13577,425,13257,13682,442,12909,13351,543,"13,100","13,643"
"805","IN","Whitley County, IN",527,17354,17881,514,17157,17671,512,16772,17284,670,"16,564","17,234"
"806","IA","Iowa",47808,1691016,1738824,44252,1646708,1690960,52218,1620442,1672660,61113,"1,628,686","1,689,799"
"807","IA","Adair County, IA",101,4180,4281,101,4035,4136,115,3998,4113,125,"4,097","4,222"
"808","IA","Adams County, IA",38,2171,2209,42,2075,2117,50,2071,2121,57,"2,152","2,209"
"809","IA","Allamakee County, IA",263,7227,7490,233,7141,7374,300,7177,7477,379,"7,269","7,648"
"810","IA","Appanoose County, IA",215,5829,6044,203,5687,5890,228,5775,6003,291,"5,851","6,142"
"811","IA","Audubon County, IA",79,3093,3172,78,3012,3090,97,3043,3140,108,"3,159","3,267"
"812","IA","Benton County, IA",406,13339,13745,374,12965,13339,438,12849,13287,490,"13,071","13,561"
"813","IA","Black Hawk County, IA",2269,68011,70280,1979,66567,68546,2567,65496,68063,3203,"65,879","69,082"
"814","IA","Boone County, IA",360,14791,15151,328,14515,14843,363,14393,14756,421,"14,651","15,072"
"815","IA","Bremer County, IA",329,13774,14103,291,13516,13807,385,13323,13708,496,"13,372","13,868"
"816","IA","Buchanan County, IA",318,11163,11481,297,10924,11221,354,10687,11041,460,"10,711","11,171"
"817","IA","Buena Vista County, IA",251,11673,11924,249,11292,11541,300,11187,11487,405,"11,076","11,481"
"818","IA","Butler County, IA",257,7758,8015,222,7597,7819,282,7536,7818,348,"7,658","8,006"
"819","IA","Calhoun County, IA",110,4202,4312,112,4173,4285,131,4139,4270,170,"4,339","4,509"
"820","IA","Carroll County, IA",216,10890,11106,208,10611,10819,253,10721,10974,289,"10,958","11,247"
"821","IA","Cass County, IA",198,6800,6998,195,6909,7104,256,6836,7092,237,"7,007","7,244"
"822","IA","Cedar County, IA",272,10738,11010,271,10514,10785,313,10425,10738,360,"10,468","10,828"
"823","IA","Cerro Gordo County, IA",657,23262,23919,629,22665,23294,711,22396,23107,829,"22,224","23,053"
"824","IA","Cherokee County, IA",157,6086,6243,133,5851,5984,152,5863,6015,229,"6,074","6,303"
"825","IA","Chickasaw County, IA",189,6416,6605,178,6239,6417,203,6135,6338,284,"6,124","6,408"
"826","IA","Clarke County, IA",144,4799,4943,141,4676,4817,149,4612,4761,162,"4,655","4,817"
"827","IA","Clay County, IA",239,8385,8624,283,8246,8529,320,8200,8520,335,"8,360","8,695"
"828","IA","Clayton County, IA",376,9925,10301,331,9813,10144,402,9726,10128,436,"9,837","10,273"
"829","IA","Clinton County, IA",863,22291,23154,754,21931,22685,942,22118,23060,1173,"22,578","23,751"
"830","IA","Crawford County, IA",295,7971,8266,286,7880,8166,338,7873,8211,460,"7,954","8,414"
"831","IA","Dallas County, IA",988,49377,50365,866,47789,48655,1000,45671,46671,1205,"44,488","45,693"
"832","IA","Davis County, IA",122,4141,4263,117,4094,4211,142,4100,4242,182,"4,096","4,278"
"833","IA","Decatur County, IA",99,4354,4453,101,4231,4332,113,4142,4255,141,"4,252","4,393"
"834","IA","Delaware County, IA",252,10468,10720,223,10210,10433,279,10168,10447,371,"10,327","10,698"
"835","IA","Des Moines County, IA",777,18810,19587,657,18784,19441,828,18717,19545,988,"18,998","19,986"
"836","IA","Dickinson County, IA",295,9933,10228,322,9522,9844,370,9681,10051,442,"9,831","10,273"
"837","IA","Dubuque County, IA",1502,55435,56937,1383,53949,55332,1626,52619,54245,1943,"52,594","54,537"
"838","IA","Emmet County, IA",136,5196,5332,150,5148,5298,172,5203,5375,238,"5,343","5,581"
"839","IA","Fayette County, IA",383,10367,10750,322,10193,10515,382,10050,10432,475,"10,208","10,683"
"840","IA","Floyd County, IA",320,8657,8977,245,8580,8825,282,8449,8731,315,"8,351","8,666"
"841","IA","Franklin County, IA",136,5659,5795,126,5653,5779,158,5595,5753,206,"5,723","5,929"
"842","IA","Fremont County, IA",103,3629,3732,72,3645,3717,100,3691,3791,131,"3,846","3,977"
"843","IA","Greene County, IA",132,5367,5499,126,5264,5390,149,5251,5400,177,"5,474","5,651"
"844","IA","Grundy County, IA",183,6440,6623,168,6339,6507,190,6311,6501,229,"6,388","6,617"
"845","IA","Guthrie County, IA",170,5533,5703,149,5390,5539,179,5352,5531,202,"5,407","5,609"
"846","IA","Hamilton County, IA",200,6814,7014,193,6754,6947,228,6797,7025,268,"6,853","7,121"
"847","IA","Hancock County, IA",145,5850,5995,143,5828,5971,159,5940,6099,172,"6,201","6,373"
"848","IA","Hardin County, IA",262,7939,8201,242,8003,8245,270,8126,8396,333,"8,217","8,550"
"849","IA","Harrison County, IA",183,7297,7480,167,7089,7256,201,7065,7266,251,"7,179","7,430"
"850","IA","Henry County, IA",264,9668,9932,247,9471,9718,289,9332,9621,339,"9,197","9,536"
"851","IA","Howard County, IA",148,5108,5256,135,5051,5186,154,4917,5071,191,"5,124","5,315"
"852","IA","Humboldt County, IA",138,5052,5190,134,5057,5191,160,5073,5233,155,"5,217","5,372"
"853","IA","Ida County, IA",83,4107,4190,83,4009,4092,94,3909,4003,103,"3,911","4,014"
"854","IA","Iowa County, IA",236,10450,10686,223,10204,10427,273,10106,10379,328,"10,202","10,530"
"855","IA","Jackson County, IA",352,10814,11166,313,10633,10946,369,10459,10828,463,"10,571","11,034"
"856","IA","Jasper County, IA",589,19478,20067,528,18828,19356,603,18588,19191,682,"18,512","19,194"
"857","IA","Jefferson County, IA",251,10002,10253,226,9498,9724,282,8816,9098,336,"8,824","9,160"
"858","IA","Johnson County, IA",1783,85941,87724,1713,83976,85689,2120,82832,84952,2183,"81,903","84,086"
"859","IA","Jones County, IA",344,10532,10876,325,10251,10576,384,10080,10464,457,"10,203","10,660"
"860","IA","Keokuk County, IA",173,5136,5309,153,4996,5149,186,4982,5168,228,"5,079","5,307"
"861","IA","Kossuth County, IA",190,8347,8537,178,8330,8508,207,8489,8696,232,"8,638","8,870"
"862","IA","Lee County, IA",644,15706,16350,662,15301,15963,882,15248,16130,1052,"16,364","17,416"
"863","IA","Linn County, IA",3622,120668,124290,3457,116835,120292,3977,114206,118183,4346,"114,131","118,477"
"864","IA","Louisa County, IA",188,5947,6135,165,5890,6055,199,5841,6040,239,"5,848","6,087"
"865","IA","Lucas County, IA",97,4603,4700,92,4401,4493,123,4220,4343,139,"4,231","4,370"
"866","IA","Lyon County, IA",118,7047,7165,110,6873,6983,122,6835,6957,144,"6,924","7,068"
"867","IA","Madison County, IA",318,8404,8722,276,8149,8425,299,7955,8254,292,"7,937","8,229"
"868","IA","Mahaska County, IA",305,11729,12034,299,11402,11701,373,11187,11560,438,"11,330","11,768"
"869","IA","Marion County, IA",399,18215,18614,379,17497,17876,457,16818,17275,525,"16,875","17,400"
"870","IA","Marshall County, IA",823,17381,18204,827,17211,18038,835,17291,18126,935,"18,150","19,085"
"871","IA","Mills County, IA",175,7334,7509,158,7111,7269,202,7072,7274,269,"7,118","7,387"
"872","IA","Mitchell County, IA",118,6834,6952,110,5810,5920,123,5619,5742,154,"5,710","5,864"
"873","IA","Monona County, IA",134,4375,4509,126,4327,4453,164,4328,4492,193,"4,520","4,713"
"874","IA","Monroe County, IA",125,3955,4080,118,3783,3901,148,3725,3873,182,"3,765","3,947"
"875","IA","Montgomery County, IA",135,4942,5077,124,4803,4927,156,4771,4927,180,"4,919","5,099"
"876","IA","Muscatine County, IA",636,21539,22175,598,21173,21771,718,21039,21757,852,"21,520","22,372"
"877","IA","O'Brien County, IA",181,8186,8367,166,7943,8109,193,7790,7983,231,"8,107","8,338"
"878","IA","Osceola County, IA",69,3509,3578,70,3449,3519,75,3497,3572,96,"3,537","3,633"
"879","IA","Page County, IA",168,6310,6478,165,6229,6394,248,6069,6317,324,"6,126","6,450"
"880","IA","Palo Alto County, IA",108,4747,4855,110,4753,4863,131,4737,4868,154,"4,799","4,953"
"881","IA","Plymouth County, IA",338,14695,15033,289,14375,14664,350,14247,14597,383,"14,585","14,968"
"882","IA","Pocahontas County, IA",88,4501,4589,81,4264,4345,100,4051,4151,123,"4,182","4,305"
"883","IA","Polk County, IA",7753,265893,273646,7005,257086,264091,7974,250800,258774,8912,"247,743","256,655"
"884","IA","Pottawattamie County, IA",1198,48101,49299,1159,46511,47670,1329,45977,47306,1634,"46,503","48,137"
"885","IA","Poweshiek County, IA",281,10258,10539,254,10207,10461,326,10037,10363,357,"10,038","10,395"
"886","IA","Ringgold County, IA",72,2439,2511,72,2454,2526,78,2458,2536,91,"2,509","2,600"
"887","IA","Sac County, IA",127,5236,5363,129,5165,5294,151,5162,5313,165,"5,315","5,480"
"888","IA","Scott County, IA",3024,87687,90711,2666,85144,87810,3149,82814,85963,3905,"82,592","86,497"
"889","IA","Shelby County, IA",144,6657,6801,137,6514,6651,160,6485,6645,200,"6,605","6,805"
"890","IA","Sioux County, IA",401,20939,21340,377,20110,20487,409,19837,20246,474,"20,157","20,631"
"891","IA","Story County, IA",1100,58115,59215,955,56909,57864,1139,55906,57045,1333,"55,478","56,811"
"892","IA","Tama County, IA",300,9308,9608,291,9196,9487,332,9204,9536,408,"9,334","9,742"
"893","IA","Taylor County, IA",62,3185,3247,66,3170,3236,72,3147,3219,95,"3,126","3,221"
"894","IA","Union County, IA",206,6169,6375,233,6139,6372,199,6196,6395,247,"6,250","6,497"
"895","IA","Van Buren County, IA",101,3613,3714,102,3610,3712,114,3588,3702,141,"3,708","3,849"
"896","IA","Wapello County, IA",664,17404,18068,626,17051,17677,800,16747,17547,1035,"16,811","17,846"
"897","IA","Warren County, IA",730,28053,28783,657,27130,27787,749,26301,27050,865,"26,172","27,037"
"898","IA","Washington County, IA",303,11908,12211,293,11676,11969,359,11809,12168,361,"11,961","12,322"
"899","IA","Wayne County, IA",74,2774,2848,78,2690,2768,85,2676,2761,107,"2,726","2,833"
"900","IA","Webster County, IA",615,19159,19774,645,18519,19164,724,18545,19269,815,"19,564","20,379"
"901","IA","Winnebago County, IA",144,5051,5195,134,4867,5001,163,4972,5135,180,"5,005","5,185"
"902","IA","Winneshiek County, IA",346,11779,12125,324,11463,11787,363,11417,11780,423,"11,606","12,029"
"903","IA","Woodbury County, IA",1532,54977,56509,1426,53584,55010,1726,52403,54129,1982,"53,622","55,604"
"904","IA","Worth County, IA",120,4149,4269,117,4050,4167,127,4055,4182,146,"4,112","4,258"
"905","IA","Wright County, IA",183,6867,7050,173,6289,6462,224,6271,6495,275,"6,399","6,674"
"906","KS","Kansas",47057,1439563,1486620,48618,1429229,1477847,53836,1422274,1476110,59903,"1,423,730","1,483,633"
"907","KS","Allen County, KS",227,6209,6436,247,6076,6323,305,5966,6271,359,"6,073","6,432"
"908","KS","Anderson County, KS",137,4041,4178,140,3973,4113,163,3981,4144,178,"3,991","4,169"
"909","KS","Atchison County, KS",361,6626,6987,316,6681,6997,366,6651,7017,438,"6,600","7,038"
"910","KS","Barber County, KS",58,2261,2319,59,2318,2377,69,2373,2442,93,"2,431","2,524"
"911","KS","Barton County, KS",423,13103,13526,429,13081,13510,508,13508,14016,628,"13,380","14,008"
"912","KS","Bourbon County, KS",284,6416,6700,290,6788,7078,310,6693,7003,346,"6,774","7,120"
"913","KS","Brown County, KS",169,5183,5352,160,5200,5360,171,5145,5316,187,"4,972","5,159"
"914","KS","Butler County, KS",1049,31442,32491,1076,30836,31912,1195,30418,31613,1343,"30,816","32,159"
"915","KS","Chase County, KS",42,1482,1524,38,1426,1464,37,1386,1423,49,"1,356","1,405"
"916","KS","Chautauqua County, KS",56,1378,1434,55,1357,1412,68,1373,1441,80,"1,459","1,539"
"917","KS","Cherokee County, KS",348,9788,10136,367,9652,10019,395,9690,10085,456,"9,822","10,278"
"918","KS","Cheyenne County, KS",32,1278,1310,30,1278,1308,34,1276,1310,37,"1,305","1,342"
"919","KS","Clark County, KS",25,1047,1072,25,1036,1061,27,1055,1082,31,"1,084","1,115"
"920","KS","Clay County, KS",121,3656,3777,119,3660,3779,142,3660,3802,164,"3,866","4,030"
"921","KS","Cloud County, KS",122,3665,3787,127,3652,3779,167,3709,3876,175,"4,077","4,252"
"922","KS","Coffey County, KS",182,3841,4023,189,3891,4080,216,3886,4102,265,"4,013","4,278"
"923","KS","Comanche County, KS",23,846,869,21,862,883,26,877,903,30,"940","970"
"924","KS","Cowley County, KS",549,15749,16298,561,16208,16769,644,16257,16901,748,"16,143","16,891"
"925","KS","Crawford County, KS",726,18003,18729,732,18000,18732,802,18244,19046,910,"17,984","18,894"
"926","KS","Decatur County, KS",37,1198,1235,36,1215,1251,40,1236,1276,51,"1,240","1,291"
"927","KS","Dickinson County, KS",314,8528,8842,312,8779,9091,353,8882,9235,405,"8,752","9,157"
"928","KS","Doniphan County, KS",139,4004,4143,145,3999,4144,146,4036,4182,165,"4,104","4,269"
"929","KS","Douglas County, KS",1918,63457,65375,1963,63156,65119,2086,62984,65070,2305,"62,893","65,198"
"930","KS","Edwards County, KS",38,1450,1488,35,1456,1491,47,1461,1508,50,"1,602","1,652"
"931","KS","Elk County, KS",43,1109,1152,39,1128,1167,50,1133,1183,59,"1,128","1,187"
"932","KS","Ellis County, KS",387,16649,17036,393,16493,16886,426,16495,16921,525,"16,469","16,994"
"933","KS","Ellsworth County, KS",77,2671,2748,73,2608,2681,83,2622,2705,109,"2,722","2,831"
"934","KS","Finney County, KS",481,20121,20602,497,19954,20451,551,19481,20032,622,"19,507","20,129"
