"","date","pce","pop","psavert","uempmed","unemploy","Year_only","Month_only","Day_only"
"1",1967-07-01,506.7,198712,12.6,4.5,2944,1967,7,1
"2",1967-08-01,509.8,198911,12.6,4.7,2945,1967,8,1
"3",1967-09-01,515.6,199113,11.9,4.6,2958,1967,9,1
"4",1967-10-01,512.2,199311,12.9,4.9,3143,1967,10,1
"5",1967-11-01,517.4,199498,12.8,4.7,3066,1967,11,1
"6",1967-12-01,525.1,199657,11.8,4.8,3018,1967,12,1
"7",1968-01-01,530.9,199808,11.7,5.1,2878,1968,1,1
"8",1968-02-01,533.6,199920,12.3,4.5,3001,1968,2,1
"9",1968-03-01,544.3,200056,11.7,4.1,2877,1968,3,1
"10",1968-04-01,544,200208,12.3,4.6,2709,1968,4,1
"11",1968-05-01,549.8,200361,12,4.4,2740,1968,5,1
"12",1968-06-01,556.3,200536,11.7,4.4,2938,1968,6,1
"13",1968-07-01,563.2,200706,10.7,4.5,2883,1968,7,1
"14",1968-08-01,567,200898,10.5,4.2,2768,1968,8,1
"15",1968-09-01,568.2,201095,10.6,4.6,2686,1968,9,1
"16",1968-10-01,571.6,201290,10.8,4.8,2689,1968,10,1
"17",1968-11-01,576.7,201466,10.6,4.4,2715,1968,11,1
"18",1968-12-01,576.5,201621,11.1,4.4,2685,1968,12,1
"19",1969-01-01,583.5,201760,10.3,4.4,2718,1969,1,1
"20",1969-02-01,588.7,201881,9.7,4.9,2692,1969,2,1
"21",1969-03-01,588.9,202023,10.2,4,2712,1969,3,1
"22",1969-04-01,593.9,202161,9.7,4,2758,1969,4,1
"23",1969-05-01,600.3,202331,10.1,4.2,2713,1969,5,1
"24",1969-06-01,600.9,202507,11.1,4.4,2816,1969,6,1
"25",1969-07-01,602.7,202677,11.8,4.4,2868,1969,7,1
"26",1969-08-01,609.9,202877,11.5,4.4,2856,1969,8,1
"27",1969-09-01,613.2,203090,11.6,4.7,3040,1969,9,1
"28",1969-10-01,618.5,203302,11.4,4.5,3049,1969,10,1
"29",1969-11-01,620.5,203500,11.6,4.8,2856,1969,11,1
"30",1969-12-01,622.8,203675,11.8,4.6,2884,1969,12,1
"31",1970-01-01,628.7,203849,11.8,4.6,3201,1970,1,1
"32",1970-02-01,634,204008,11.7,4.5,3453,1970,2,1
"33",1970-03-01,632.3,204156,12.4,4.6,3635,1970,3,1
"34",1970-04-01,636,204401,13.3,4.1,3797,1970,4,1
"35",1970-05-01,642.4,204607,12.4,4.7,3919,1970,5,1
"36",1970-06-01,646.3,204830,12.3,4.9,4071,1970,6,1
"37",1970-07-01,648.5,205052,13.5,5.1,4175,1970,7,1
"38",1970-08-01,652.9,205295,13.4,5.4,4256,1970,8,1
"39",1970-09-01,659.1,205540,12.9,5.2,4456,1970,9,1
"40",1970-10-01,658.3,205788,13.1,5.2,4591,1970,10,1
"41",1970-11-01,656.6,206024,13.6,5.6,4898,1970,11,1
"42",1970-12-01,665.6,206238,13.2,5.9,5076,1970,12,1
"43",1971-01-01,676.1,206466,13.3,6.2,4986,1971,1,1
"44",1971-02-01,679.4,206668,13.3,6.3,4903,1971,2,1
"45",1971-03-01,682,206855,13.5,6.4,4987,1971,3,1
"46",1971-04-01,688.8,207065,13.2,6.5,4959,1971,4,1
"47",1971-05-01,691.1,207260,13.6,6.7,4996,1971,5,1
"48",1971-06-01,699.8,207462,14.7,5.7,4949,1971,6,1
"49",1971-07-01,698.9,207661,13.8,6.2,5035,1971,7,1
"50",1971-08-01,704.9,207881,13.6,6.4,5134,1971,8,1
"51",1971-09-01,713,208114,13.3,5.8,5042,1971,9,1
"52",1971-10-01,715.8,208345,13.3,6.5,4954,1971,10,1
"53",1971-11-01,720.9,208555,13.1,6.4,5161,1971,11,1
"54",1971-12-01,728.4,208740,13,6.2,5154,1971,12,1
"55",1972-01-01,731.5,208917,12.5,6.2,5019,1972,1,1
"56",1972-02-01,736.2,209061,12.8,6.6,4928,1972,2,1
"57",1972-03-01,749.2,209212,11.8,6.6,5038,1972,3,1
"58",1972-04-01,752.5,209386,11.5,6.7,4959,1972,4,1
"59",1972-05-01,758,209545,11.7,6.6,4922,1972,5,1
"60",1972-06-01,761.6,209725,11.7,5.4,4923,1972,6,1
"61",1972-07-01,769.9,209896,11.7,6.1,4913,1972,7,1
"62",1972-08-01,776.3,210075,12,6,4939,1972,8,1
"63",1972-09-01,781.1,210278,12.2,5.6,4849,1972,9,1
"64",1972-10-01,794.9,210479,13,5.7,4875,1972,10,1
"65",1972-11-01,800.5,210656,13.6,5.7,4602,1972,11,1
"66",1972-12-01,806.1,210821,13.7,6.1,4543,1972,12,1
"67",1973-01-01,816.5,210985,12.4,5.7,4326,1973,1,1
"68",1973-02-01,825.8,211120,12.5,5.2,4452,1973,2,1
"69",1973-03-01,832.8,211254,12.7,5.5,4394,1973,3,1
"70",1973-04-01,835.7,211420,13.2,5,4459,1973,4,1
"71",1973-05-01,841.6,211577,13.2,4.9,4329,1973,5,1
"72",1973-06-01,844.3,211746,13.6,5,4363,1973,6,1
"73",1973-07-01,854.1,211909,13.2,5.2,4305,1973,7,1
"74",1973-08-01,853.3,212092,13.9,4.9,4305,1973,8,1
"75",1973-09-01,869.2,212289,13.1,5.4,4350,1973,9,1
"76",1973-10-01,868.2,212475,14.4,5.5,4144,1973,10,1
"77",1973-11-01,876.9,212634,14.4,5.1,4396,1973,11,1
"78",1973-12-01,876.6,212785,14.8,4.7,4489,1973,12,1
"79",1974-01-01,884.5,212932,14.3,5,4644,1974,1,1
"80",1974-02-01,889.7,213074,14.2,5.1,4731,1974,2,1
"81",1974-03-01,901.4,213211,13.4,4.8,4634,1974,3,1
"82",1974-04-01,910.8,213361,13.1,5,4618,1974,4,1
"83",1974-05-01,922.4,213513,12.8,4.6,4705,1974,5,1
"84",1974-06-01,928,213686,12.8,5.3,4927,1974,6,1
"85",1974-07-01,937.9,213854,12.8,5.7,5063,1974,7,1
"86",1974-08-01,954.8,214042,12.1,5,5022,1974,8,1
"87",1974-09-01,955.1,214246,12.9,5.3,5437,1974,9,1
"88",1974-10-01,959.2,214451,13.4,5.5,5523,1974,10,1
"89",1974-11-01,956.2,214625,13.8,5.2,6140,1974,11,1
"90",1974-12-01,961.8,214782,14,5.7,6636,1974,12,1
"91",1975-01-01,975.6,214931,13.2,6.3,7501,1975,1,1
"92",1975-02-01,989.4,215065,12.5,7.1,7520,1975,2,1
"93",1975-03-01,990.6,215198,12.7,7.2,7978,1975,3,1
"94",1975-04-01,995,215353,14.2,8.7,8210,1975,4,1
"95",1975-05-01,1018.9,215523,17.3,9.4,8433,1975,5,1
"96",1975-06-01,1026.8,215768,14.3,8.8,8220,1975,6,1
"97",1975-07-01,1039.8,215973,12.6,8.6,8127,1975,7,1
"98",1975-08-01,1047,216195,13,9.2,7928,1975,8,1
"99",1975-09-01,1054.8,216393,13,9.2,7923,1975,9,1
"100",1975-10-01,1060.9,216587,13.4,8.6,7897,1975,10,1
"101",1975-11-01,1075.8,216771,12.7,9.5,7794,1975,11,1
"102",1975-12-01,1092.1,216931,12,9,7744,1975,12,1
"103",1976-01-01,1107.1,217095,11.7,9,7534,1976,1,1
"104",1976-02-01,1107.7,217249,12.3,8.2,7326,1976,2,1
"105",1976-03-01,1114.9,217381,12.2,8.7,7230,1976,3,1
"106",1976-04-01,1125.4,217528,11.7,8.2,7330,1976,4,1
"107",1976-05-01,1122.7,217685,12.3,8.3,7053,1976,5,1
"108",1976-06-01,1140.5,217861,11.4,7.8,7322,1976,6,1
"109",1976-07-01,1149.6,218035,11.7,7.7,7490,1976,7,1
"110",1976-08-01,1158,218233,11.7,7.9,7518,1976,8,1
"111",1976-09-01,1168.8,218440,11.4,7.8,7380,1976,9,1
"112",1976-10-01,1176.8,218644,11.1,7.7,7430,1976,10,1
"113",1976-11-01,1189,218834,11.4,8.4,7620,1976,11,1
"114",1976-12-01,1211.5,219006,10.6,8,7545,1976,12,1
"115",1977-01-01,1215,219179,10.6,7.5,7280,1977,1,1
"116",1977-02-01,1231.3,219344,9.3,7.2,7443,1977,2,1
"117",1977-03-01,1238.3,219504,10.5,7.2,7307,1977,3,1
"118",1977-04-01,1247.3,219684,10.5,7.3,7059,1977,4,1
"119",1977-05-01,1257.1,219859,10.3,7.9,6911,1977,5,1
"120",1977-06-01,1263.6,220046,10.6,6.2,7134,1977,6,1
"121",1977-07-01,1280.5,220239,10.5,7.1,6829,1977,7,1
"122",1977-08-01,1285.7,220458,10.9,7,6925,1977,8,1
"123",1977-09-01,1294.5,220688,11.1,6.7,6751,1977,9,1
"124",1977-10-01,1311.4,220904,11,6.9,6763,1977,10,1
"125",1977-11-01,1327,221109,11.2,7,6815,1977,11,1
"126",1977-12-01,1336,221303,11.4,6.8,6386,1977,12,1
"127",1978-01-01,1329.5,221477,11.9,6.5,6489,1978,1,1
"128",1978-02-01,1355.1,221629,11.1,6.7,6318,1978,2,1
"129",1978-03-01,1377.5,221792,11,6.2,6337,1978,3,1
"130",1978-04-01,1396.4,221991,10.8,6.1,6180,1978,4,1
"131",1978-05-01,1412,222176,10.3,5.7,6127,1978,5,1
"132",1978-06-01,1425.8,222379,10,6,6028,1978,6,1
"133",1978-07-01,1426.8,222585,10.9,5.8,6309,1978,7,1
"134",1978-08-01,1447,222805,10.5,5.8,6080,1978,8,1
"135",1978-09-01,1452.9,223053,10.6,5.6,6125,1978,9,1
"136",1978-10-01,1466.9,223271,10.7,5.9,5947,1978,10,1
"137",1978-11-01,1480.6,223477,10.5,5.5,6077,1978,11,1
"138",1978-12-01,1496.5,223670,10.4,5.6,6228,1978,12,1
"139",1979-01-01,1502.4,223865,11.1,5.9,6109,1979,1,1
"140",1979-02-01,1517.8,224053,11.1,5.9,6173,1979,2,1
"141",1979-03-01,1531.2,224235,11.2,5.9,6109,1979,3,1
"142",1979-04-01,1538.4,224438,11,5.4,6069,1979,4,1
"143",1979-05-01,1558.8,224632,10.3,5.6,5840,1979,5,1
"144",1979-06-01,1575.7,224843,9.9,5.6,5959,1979,6,1
"145",1979-07-01,1586.1,225055,10.6,5.9,5996,1979,7,1
"146",1979-08-01,1615.6,225295,9.7,4.8,6320,1979,8,1
"147",1979-09-01,1633.9,225547,9.4,5.5,6190,1979,9,1
"148",1979-10-01,1641.6,225801,9.7,5.5,6296,1979,10,1
"149",1979-11-01,1657.3,226027,9.7,5.3,6238,1979,11,1
"150",1979-12-01,1666.3,226243,10.1,5.7,6325,1979,12,1
"151",1980-01-01,1697.3,226451,9.9,5.3,6683,1980,1,1
"152",1980-02-01,1701.4,226656,10.1,5.8,6702,1980,2,1
"153",1980-03-01,1708.2,226849,10.2,6,6729,1980,3,1
"154",1980-04-01,1695.2,227061,11.3,5.8,7358,1980,4,1
"155",1980-05-01,1700.1,227251,11.4,5.7,7984,1980,5,1
"156",1980-06-01,1718.8,227522,11.2,6.4,8098,1980,6,1
"157",1980-07-01,1747.1,227726,11.3,7,8363,1980,7,1
"158",1980-08-01,1763.8,227953,11.3,7.5,8281,1980,8,1
"159",1980-09-01,1780.5,228186,11.7,7.7,8021,1980,9,1
"160",1980-10-01,1817.1,228417,11.3,7.5,8088,1980,10,1
"161",1980-11-01,1826.8,228612,11.6,7.7,8023,1980,11,1
"162",1980-12-01,1851.7,228779,11.4,7.5,7718,1980,12,1
"163",1981-01-01,1870,228937,10.9,7.4,8071,1981,1,1
"164",1981-02-01,1884.2,229071,10.8,7.1,8051,1981,2,1
"165",1981-03-01,1902.9,229224,10.8,7.1,7982,1981,3,1
"166",1981-04-01,1904.4,229403,10.9,7.4,7869,1981,4,1
"167",1981-05-01,1913.8,229575,11,6.9,8174,1981,5,1
"168",1981-06-01,1934.5,229761,10.8,6.6,8098,1981,6,1
"169",1981-07-01,1942.1,229966,12.3,7.1,7863,1981,7,1
"170",1981-08-01,1966.6,230187,12,7.2,8036,1981,8,1
"171",1981-09-01,1965.5,230412,12.4,6.8,8230,1981,9,1
"172",1981-10-01,1963.9,230641,13,6.8,8646,1981,10,1
"173",1981-11-01,1970.6,230822,13.2,6.9,9029,1981,11,1
"174",1981-12-01,1988.8,230989,12.5,6.9,9267,1981,12,1
"175",1982-01-01,1997.1,231157,12.7,7.1,9397,1982,1,1
"176",1982-02-01,2021.2,231313,12.1,7.5,9705,1982,2,1
"177",1982-03-01,2024.1,231470,12.2,7.7,9895,1982,3,1
"178",1982-04-01,2026.3,231645,12.9,8.1,10244,1982,4,1
"179",1982-05-01,2044.5,231809,12.3,8.5,10335,1982,5,1
"180",1982-06-01,2048.1,231992,12.3,9.5,10538,1982,6,1
"181",1982-07-01,2072.2,232188,12.5,8.5,10849,1982,7,1
"182",1982-08-01,2080.1,232392,12.6,8.7,10881,1982,8,1
"183",1982-09-01,2104.6,232599,11.8,9.5,11217,1982,9,1
"184",1982-10-01,2125.8,232816,11.3,9.7,11529,1982,10,1
"185",1982-11-01,2149.3,232993,10.9,10,11938,1982,11,1
"186",1982-12-01,2161.6,233160,10.9,10.2,12051,1982,12,1
"187",1983-01-01,2174,233322,11.1,11.1,11534,1983,1,1
"188",1983-02-01,2177,233473,11.1,9.8,11545,1983,2,1
"189",1983-03-01,2202.8,233613,10.6,10.4,11408,1983,3,1
"190",1983-04-01,2226.4,233781,10.3,10.9,11268,1983,4,1
"191",1983-05-01,2245.9,233922,9.9,12.3,11154,1983,5,1
"192",1983-06-01,2276,234118,9.1,11.3,11246,1983,6,1
"193",1983-07-01,2304.4,234307,9.6,10.1,10548,1983,7,1
"194",1983-08-01,2320.4,234501,9.2,9.3,10623,1983,8,1
"195",1983-09-01,2334.9,234701,9.6,9.3,10282,1983,9,1
"196",1983-10-01,2357.6,234907,9.7,9.4,9887,1983,10,1
"197",1983-11-01,2366.3,235078,10.3,9.3,9499,1983,11,1
"198",1983-12-01,2393.6,235235,10.1,8.7,9331,1983,12,1
"199",1984-01-01,2419.4,235385,10,9.1,9008,1984,1,1
"200",1984-02-01,2403.5,235527,11.7,8.3,8791,1984,2,1
"201",1984-03-01,2431.6,235675,11.5,8.3,8746,1984,3,1
"202",1984-04-01,2457.5,235839,11.5,8.2,8762,1984,4,1
"203",1984-05-01,2474.5,235993,11.1,9.1,8456,1984,5,1
"204",1984-06-01,2495.6,236160,11.1,7.5,8226,1984,6,1
"205",1984-07-01,2494.6,236348,11.6,7.5,8537,1984,7,1
"206",1984-08-01,2512.2,236549,11.8,7.3,8519,1984,8,1
"207",1984-09-01,2533.8,236760,11.8,7.6,8367,1984,9,1
"208",1984-10-01,2531.3,236976,11.7,7.2,8381,1984,10,1
"209",1984-11-01,2571.4,237159,10.9,7.2,8198,1984,11,1
"210",1984-12-01,2582.6,237316,11.2,7.3,8358,1984,12,1
"211",1985-01-01,2618.8,237468,10.3,6.8,8423,1985,1,1
"212",1985-02-01,2640.8,237602,9.1,7.1,8321,1985,2,1
"213",1985-03-01,2648.5,237732,8.7,7.1,8339,1985,3,1
"214",1985-04-01,2659.5,237900,9.9,6.9,8395,1985,4,1
"215",1985-05-01,2696.4,238074,11.1,6.9,8302,1985,5,1
"216",1985-06-01,2689.4,238270,9.6,6.6,8460,1985,6,1
"217",1985-07-01,2715.7,238466,9.1,6.9,8513,1985,7,1
"218",1985-08-01,2752.1,238679,8.2,7.1,8196,1985,8,1
"219",1985-09-01,2794.7,238898,7.3,6.9,8248,1985,9,1
"220",1985-10-01,2755.8,239113,9.1,7.1,8298,1985,10,1
"221",1985-11-01,2771.1,239307,9,7,8128,1985,11,1
"222",1985-12-01,2811.3,239477,8.6,6.8,8138,1985,12,1
"223",1986-01-01,2827.1,239638,8.6,6.7,7795,1986,1,1
"224",1986-02-01,2820.2,239788,9.3,6.9,8402,1986,2,1
"225",1986-03-01,2823.6,239928,9.9,6.8,8383,1986,3,1
"226",1986-04-01,2835.2,240094,9.7,6.7,8364,1986,4,1
"227",1986-05-01,2857.5,240271,9.3,6.8,8439,1986,5,1
"228",1986-06-01,2861.7,240459,9.4,7,8508,1986,6,1
"229",1986-07-01,2881.2,240651,9.3,6.9,8319,1986,7,1
"230",1986-08-01,2898.6,240854,9,7.1,8135,1986,8,1
"231",1986-09-01,2971.8,241068,7.2,7.4,8310,1986,9,1
"232",1986-10-01,2932.9,241274,8.4,7,8243,1986,10,1
"233",1986-11-01,2928.4,241467,8.8,7.1,8159,1986,11,1
"234",1986-12-01,2997.1,241620,7,7.1,7883,1986,12,1
"235",1987-01-01,2935.5,241784,9.7,6.9,7892,1987,1,1
"236",1987-02-01,3001.7,241930,8.5,6.6,7865,1987,2,1
"237",1987-03-01,3013.3,242079,8.5,6.6,7862,1987,3,1
"238",1987-04-01,3038.8,242252,4.5,7.1,7542,1987,4,1
"239",1987-05-01,3048.4,242423,8.2,6.6,7574,1987,5,1
"240",1987-06-01,3072.8,242608,7.7,6.5,7398,1987,6,1
"241",1987-07-01,3094.7,242804,7.5,6.5,7268,1987,7,1
"242",1987-08-01,3130.8,243012,7.2,6.4,7261,1987,8,1
"243",1987-09-01,3126.5,243223,7.6,6,7102,1987,9,1
"244",1987-10-01,3134.5,243446,8.3,6.3,7227,1987,10,1
"245",1987-11-01,3144.2,243639,8.5,6.2,7035,1987,11,1
"246",1987-12-01,3174.1,243809,8.7,6,6936,1987,12,1
"247",1988-01-01,3213.7,243981,8.1,6.2,6953,1988,1,1
"248",1988-02-01,3221.4,244131,8.6,6.3,6929,1988,2,1
"249",1988-03-01,3260.5,244279,8.2,6.4,6876,1988,3,1
"250",1988-04-01,3263,244445,8.8,5.9,6601,1988,4,1
"251",1988-05-01,3293.6,244610,8.4,5.9,6779,1988,5,1
"252",1988-06-01,3318.5,244806,8.4,5.8,6546,1988,6,1
"253",1988-07-01,3342.7,245021,8.6,6.1,6605,1988,7,1
"254",1988-08-01,3368,245240,8.4,5.9,6843,1988,8,1
"255",1988-09-01,3375,245464,8.9,5.7,6604,1988,9,1
"256",1988-10-01,3413.7,245693,8.6,5.6,6568,1988,10,1
"257",1988-11-01,3430.2,245884,8.4,5.7,6537,1988,11,1
"258",1988-12-01,3459.7,246056,8.3,5.9,6518,1988,12,1
"259",1989-01-01,3483.7,246224,8.5,5.6,6682,1989,1,1
"260",1989-02-01,3488,246378,9,5.4,6359,1989,2,1
"261",1989-03-01,3498.8,246530,9.5,5.4,6205,1989,3,1
"262",1989-04-01,3543,246721,8.4,5.4,6468,1989,4,1
"263",1989-05-01,3551.8,246906,8.1,5.3,6375,1989,5,1
"264",1989-06-01,3566.6,247114,8.2,5.4,6577,1989,6,1
"265",1989-07-01,3585.7,247342,8.2,5.6,6495,1989,7,1
"266",1989-08-01,3620.6,247573,7.6,5,6511,1989,8,1
"267",1989-09-01,3621.9,247816,8.1,4.9,6590,1989,9,1
"268",1989-10-01,3633.6,248067,8.5,4.9,6630,1989,10,1
"269",1989-11-01,3643.3,248281,8.6,4.8,6725,1989,11,1
"270",1989-12-01,3684.2,248479,7.8,4.9,6667,1989,12,1
"271",1990-01-01,3730.7,248659,8,5.1,6752,1990,1,1
"272",1990-02-01,3728.2,248827,8.6,5.3,6651,1990,2,1
"273",1990-03-01,3754.9,249012,8.3,5.1,6598,1990,3,1
"274",1990-04-01,3770,249306,8.8,4.8,6797,1990,4,1
"275",1990-05-01,3775.8,249565,8.7,5.2,6742,1990,5,1
"276",1990-06-01,3804.5,249849,8.6,5.2,6590,1990,6,1
"277",1990-07-01,3821.7,250132,8.7,5.4,6922,1990,7,1
"278",1990-08-01,3848.3,250439,8.1,5.4,7188,1990,8,1
"279",1990-09-01,3870.1,250751,8.1,5.6,7368,1990,9,1
"280",1990-10-01,3870.6,251057,7.8,5.8,7459,1990,10,1
"281",1990-11-01,3871.9,251346,7.9,5.7,7764,1990,11,1
"282",1990-12-01,3861.3,251626,8.8,5.9,7901,1990,12,1
"283",1991-01-01,3841,251889,9.3,6,8015,1991,1,1
"284",1991-02-01,3866.7,252135,8.8,6.2,8265,1991,2,1
"285",1991-03-01,3913,252372,8,6.7,8586,1991,3,1
"286",1991-04-01,3907.1,252643,8.6,6.6,8439,1991,4,1
"287",1991-05-01,3933.2,252913,8.4,6.4,8736,1991,5,1
"288",1991-06-01,3940.5,253207,8.9,6.9,8692,1991,6,1
"289",1991-07-01,3966,253493,8.2,7,8586,1991,7,1
"290",1991-08-01,3969.1,253807,8.6,7.3,8666,1991,8,1
